term,count,ratio
intelligence,962,0.962
artificial,878,0.878
ai,299,0.299
technology,124,0.124
chatgpt,121,0.121
generative,106,0.106
company,103,0.103
human,99,0.099
new,92,0.092
development,73,0.073
tools,62,0.062
systems,60,0.06
openai,60,0.06
tech,56,0.056
musk,49,0.049
world,47,0.047
time,47,0.047
chatbot,47,0.047
advanced,47,0.047
models,46,0.046
images,45,0.045
data,45,0.045
google,43,0.043
computer,43,0.043
including,42,0.042
research,40,0.04
report,40,0.04
called,40,0.04
regulation,39,0.039
machine,39,0.039
industry,39,0.039
power,36,0.036
work,35,0.035
create,35,0.035
concerns,35,0.035
software,34,0.034
services,33,0.033
people,33,0.033
microsoft,33,0.033
help,32,0.032
tuesday,31,0.031
elon,31,0.031
business,31,0.031
learning,30,0.03
program,29,0.029
music,29,0.029
months,29,0.029
launched,29,0.029
products,28,0.028
future,28,0.028
platform,27,0.027
news,27,0.027
risks,26,0.026
released,25,0.025
investment,25,0.025
growth,25,0.025
group,25,0.025
ceo,25,0.025
so,24,0.024
security,24,0.024
national,24,0.024
health,24,0.024
alien,24,0.024
rapid,23,0.023
jobs,23,0.023
growing,23,0.023
government,23,0.023
experts,23,0.023
latest,22,0.022
discuss,22,0.022
china,22,0.022
video,21,0.021
think,21,0.021
rules,21,0.021
potential,21,0.021
leaders,21,0.021
big,21,0.021
algorithms,21,0.021
agency,21,0.021
train,20,0.02
rise,20,0.02
major,20,0.02
digital,20,0.02
build,20,0.02
questions,19,0.019
public,19,0.019
capabilities,19,0.019
biden,19,0.019
users,18,0.018
process,18,0.018
popular,18,0.018
planning,18,0.018
need,18,0.018
media,18,0.018
interview,18,0.018
increasingly,18,0.018
form,18,0.018
designed,18,0.018
writing,17,0.017
voice,17,0.017
