date,count,total_count,ratio
2023-02-01 00:00:00,164,15587,0.010521588503239879
2023-02-02 00:00:00,130,14561,0.008927958244626055
2023-02-03 00:00:00,112,13365,0.008380097268986158
2023-02-04 00:00:00,51,6652,0.007666867107636801
2023-02-05 00:00:00,37,7536,0.004909766454352441
2023-02-06 00:00:00,168,13328,0.012605042016806723
2023-02-07 00:00:00,194,13303,0.014583176727054049
2023-02-08 00:00:00,183,14657,0.012485501808009825
2023-02-09 00:00:00,149,15291,0.009744294029167485
2023-02-10 00:00:00,123,13432,0.009157236450268016
2023-02-11 00:00:00,47,6696,0.007019115890083632
2023-02-12 00:00:00,59,7794,0.0075699255837823965
2023-02-13 00:00:00,108,12994,0.008311528397722026
2023-02-14 00:00:00,145,14450,0.010034602076124567
2023-02-15 00:00:00,143,14774,0.009679166102612697
2023-02-16 00:00:00,186,15156,0.01227236737925574
2023-02-17 00:00:00,144,13252,0.010866284334440085
2023-02-18 00:00:00,51,6955,0.007332854061826024
2023-02-19 00:00:00,35,6435,0.005439005439005439
2023-02-20 00:00:00,63,9776,0.006444353518821604
2023-02-21 00:00:00,120,13650,0.008791208791208791
2023-02-22 00:00:00,179,14918,0.011998927470170263
2023-02-23 00:00:00,151,15188,0.009942059520674217
2023-02-24 00:00:00,143,13308,0.010745416290952811
2023-02-25 00:00:00,36,6725,0.005353159851301115
2023-02-26 00:00:00,42,7207,0.005827667545441931
2023-02-27 00:00:00,160,13990,0.01143674052894925
2023-02-28 00:00:00,128,15415,0.008303600389231268
