term,count,ratio
intelligence,914,0.914
artificial,857,0.857
ai,237,0.237
chatgpt,175,0.175
new,134,0.134
technology,133,0.133
company,127,0.127
google,91,0.091
microsoft,84,0.084
chatbot,75,0.075
tool,72,0.072
human,70,0.07
generative,70,0.07
openai,69,0.069
search,68,0.068
tech,57,0.057
development,56,0.056
learning,53,0.053
data,53,0.053
research,52,0.052
world,51,0.051
engine,50,0.05
create,50,0.05
power,49,0.049
including,48,0.048
investment,47,0.047
machine,45,0.045
china,45,0.045
report,42,0.042
computer,42,0.042
work,41,0.041
help,41,0.041
business,40,0.04
bing,37,0.037
software,36,0.036
launch,36,0.036
systems,33,0.033
robots,33,0.033
market,33,0.033
stocks,32,0.032
advanced,32,0.032
time,31,0.031
services,31,0.031
products,31,0.031
images,31,0.031
announced,31,0.031
people,30,0.03
models,30,0.03
write,29,0.029
military,29,0.029
increasingly,29,0.029
week,28,0.028
test,28,0.028
ceo,27,0.027
program,26,0.026
plans,26,0.026
change,26,0.026
future,25,0.025
artificial-intelligence,25,0.025
race,24,0.024
called,24,0.024
threat,23,0.023
startup,23,0.023
language,23,0.023
industries,23,0.023
alphabet,23,0.023
potential,22,0.022
jobs,22,0.022
day,22,0.022
billion,22,0.022
big,22,0.022
applications,22,0.022
responses,21,0.021
lead,21,0.021
investor,21,0.021
voice,20,0.02
users,20,0.02
team,20,0.02
tasks,20,0.02
shares,20,0.02
popular,20,0.02
platform,20,0.02
need,20,0.02
months,20,0.02
focus,20,0.02
executive,20,0.02
content,20,0.02
behind,20,0.02
bard,20,0.02
algorithms,20,0.02
video,19,0.019
security,19,0.019
public,19,0.019
processes,19,0.019
interest,19,0.019
chinese,19,0.019
ability,19,0.019
so,18,0.018
school,18,0.018
million,18,0.018
