date,count,total_count,ratio
2022-07-01 00:00:00,48,10221,0.004696213677722336
2022-07-02 00:00:00,9,4779,0.0018832391713747645
2022-07-03 00:00:00,17,4881,0.0034828928498258555
2022-07-04 00:00:00,17,5728,0.002967877094972067
2022-07-05 00:00:00,44,9942,0.004425668879501106
2022-07-06 00:00:00,44,11150,0.003946188340807175
2022-07-07 00:00:00,64,11581,0.005526293066229169
2022-07-08 00:00:00,22,10341,0.002127453824581762
2022-07-09 00:00:00,14,5057,0.002768439786434645
2022-07-10 00:00:00,13,5063,0.002567647639739285
2022-07-11 00:00:00,45,10227,0.004400117336462305
2022-07-12 00:00:00,55,12186,0.004513376005251929
2022-07-13 00:00:00,57,11405,0.004997807978956598
2022-07-14 00:00:00,45,11625,0.003870967741935484
2022-07-15 00:00:00,22,10256,0.0021450858034321374
2022-07-16 00:00:00,20,4941,0.0040477636106051405
2022-07-17 00:00:00,14,5339,0.002622213897733658
2022-07-18 00:00:00,38,9786,0.003883098303699162
2022-07-19 00:00:00,26,10860,0.0023941068139963165
2022-07-20 00:00:00,42,10951,0.0038352661857364626
2022-07-21 00:00:00,47,11502,0.004086245870283429
2022-07-22 00:00:00,41,10144,0.0040417981072555205
2022-07-23 00:00:00,23,5193,0.004429039091084152
2022-07-24 00:00:00,17,5083,0.0033444816053511705
2022-07-25 00:00:00,54,9535,0.005663345568956476
2022-07-26 00:00:00,53,10891,0.0048664034523918836
2022-07-27 00:00:00,69,11246,0.006135514849724346
2022-07-28 00:00:00,59,11218,0.005259404528436442
2022-07-29 00:00:00,36,10010,0.0035964035964035964
2022-07-30 00:00:00,11,5118,0.0021492770613520907
2022-07-31 00:00:00,24,5162,0.004649360712901976
