date,count,total_count,ratio
2023-06-01 00:00:00,269,13379,0.020106136482547277
2023-06-02 00:00:00,244,13063,0.018678710862742098
2023-06-03 00:00:00,72,6216,0.011583011583011582
2023-06-04 00:00:00,99,6555,0.015102974828375287
2023-06-05 00:00:00,242,13850,0.01747292418772563
2023-06-06 00:00:00,240,14544,0.0165016501650165
2023-06-07 00:00:00,242,14564,0.01661631419939577
2023-06-08 00:00:00,253,13671,0.018506327262087632
2023-06-09 00:00:00,219,14081,0.015552872665293658
2023-06-10 00:00:00,64,6376,0.010037641154328732
2023-06-11 00:00:00,63,6666,0.009450945094509451
2023-06-12 00:00:00,239,13242,0.01804863313698837
2023-06-13 00:00:00,278,15055,0.018465626037861175
2023-06-14 00:00:00,301,15043,0.020009306654257795
2023-06-15 00:00:00,253,15301,0.01653486700215672
2023-06-16 00:00:00,253,14118,0.01792038532370024
2023-06-17 00:00:00,71,6529,0.0108745596569153
2023-06-18 00:00:00,85,6424,0.013231631382316315
2023-06-19 00:00:00,126,9829,0.012819208464747177
2023-06-20 00:00:00,270,13870,0.01946647440519106
2023-06-21 00:00:00,257,14444,0.0177928551647743
2023-06-22 00:00:00,315,15099,0.02086230876216968
2023-06-23 00:00:00,265,13534,0.019580316240579283
2023-06-24 00:00:00,69,6204,0.011121856866537718
2023-06-25 00:00:00,62,6472,0.009579728059332509
2023-06-26 00:00:00,176,13405,0.013129429317418874
2023-06-27 00:00:00,206,14955,0.01377465730524908
2023-06-28 00:00:00,256,14747,0.017359462941615243
2023-06-29 00:00:00,219,15682,0.01396505547761765
2023-06-30 00:00:00,223,14046,0.015876406094261712
