term,count,ratio
intelligence,926,0.926
artificial,853,0.853
ai,281,0.281
technology,122,0.122
generative,104,0.104
company,98,0.098
new,97,0.097
human,85,0.085
chatgpt,76,0.076
stocks,54,0.054
advanced,53,0.053
tech,52,0.052
development,52,0.052
work,50,0.05
tools,50,0.05
create,48,0.048
power,47,0.047
china,46,0.046
report,44,0.044
industry,43,0.043
systems,42,0.042
including,42,0.042
data,41,0.041
openai,40,0.04
computing,40,0.04
chips,40,0.04
services,39,0.039
market,39,0.039
regulate,38,0.038
products,38,0.038
potential,38,0.038
world,37,0.037
help,36,0.036
business,35,0.035
risks,34,0.034
nvidia,34,0.034
research,33,0.033
warned,32,0.032
increase,32,0.032
global,31,0.031
future,31,0.031
biden,31,0.031
software,30,0.03
jobs,30,0.03
google,29,0.029
executives,29,0.029
concerns,29,0.029
tuesday,28,0.028
security,28,0.028
president,28,0.028
people,28,0.028
investors,28,0.028
images,28,0.028
model,27,0.027
information,27,0.027
group,27,0.027
government,27,0.027
ceo,27,0.027
machine,26,0.026
learning,26,0.026
time,25,0.025
platform,25,0.025
leaders,25,0.025
continues,25,0.025
chatbot,25,0.025
national,24,0.024
threat,23,0.023
shares,23,0.023
record,23,0.023
called,23,0.023
analysts,23,0.023
agency,23,0.023
plans,22,0.022
microsoft,22,0.022
issues,22,0.022
innovation,22,0.022
european,22,0.022
week,21,0.021
voice,21,0.021
think,21,0.021
set,21,0.021
news,21,0.021
experts,21,0.021
operations,20,0.02
month,20,0.02
cloud,20,0.02
boom,20,0.02
wednesday,19,0.019
rules,19,0.019
robot,19,0.019
response,19,0.019
programs,19,0.019
meta,19,0.019
down,19,0.019
digital,19,0.019
designed,19,0.019
consumers,19,0.019
beatles,19,0.019
so,18,0.018
questions,18,0.018
