term,count,ratio
intelligence,937,0.937
artificial,834,0.834
ai,280,0.28
technology,152,0.152
chatgpt,134,0.134
company,109,0.109
human,98,0.098
generative,90,0.09
new,85,0.085
tools,69,0.069
development,68,0.068
chatbot,62,0.062
work,58,0.058
openai,57,0.057
powerful,55,0.055
tech,53,0.053
research,50,0.05
learning,50,0.05
advanced,47,0.047
created,46,0.046
called,46,0.046
software,45,0.045
microsoft,45,0.045
help,45,0.045
world,42,0.042
time,42,0.042
products,41,0.041
model,41,0.041
computing,40,0.04
including,38,0.038
images,38,0.038
report,36,0.036
programs,36,0.036
data,36,0.036
people,35,0.035
business,35,0.035
systems,34,0.034
gpt,33,0.033
google,32,0.032
future,32,0.032
china,32,0.032
so,31,0.031
machine,31,0.031
industry,31,0.031
government,30,0.03
increasingly,29,0.029
concerns,29,0.029
public,28,0.028
musk,28,0.028
change,28,0.028
capabilities,28,0.028
services,27,0.027
need,27,0.027
launched,27,0.027
market,26,0.026
write,25,0.025
risks,25,0.025
search,24,0.024
open,24,0.024
engine,24,0.024
day,24,0.024
questions,23,0.023
office,23,0.023
national,23,0.023
media,23,0.023
investment,23,0.023
rise,22,0.022
nvidia,22,0.022
jobs,22,0.022
warning,21,0.021
students,21,0.021
released,21,0.021
potential,21,0.021
platform,21,0.021
plans,21,0.021
executive,21,0.021
automation,21,0.021
tuesday,20,0.02
shares,20,0.02
science,20,0.02
months,20,0.02
leaders,20,0.02
language,20,0.02
growing,20,0.02
access,20,0.02
society,19,0.019
social,19,0.019
security,19,0.019
process,19,0.019
popularity,19,0.019
news,19,0.019
million,19,0.019
innovation,19,0.019
firms,19,0.019
conversations,19,0.019
claims,19,0.019
ceo,19,0.019
announced,19,0.019
users,18,0.018
think,18,0.018
