term,count,ratio
intelligence,944,0.944
artificial,891,0.891
ai,277,0.277
technology,139,0.139
company,99,0.099
chatgpt,91,0.091
new,89,0.089
human,87,0.087
generative,73,0.073
google,68,0.068
development,68,0.068
tech,63,0.063
tools,62,0.062
openai,62,0.062
regulate,55,0.055
ceo,54,0.054
risks,50,0.05
advanced,49,0.049
powerful,48,0.048
stock,47,0.047
microsoft,46,0.046
work,45,0.045
research,45,0.045
including,44,0.044
help,44,0.044
industry,40,0.04
reported,39,0.039
data,39,0.039
concerns,39,0.039
warned,38,0.038
learning,38,0.038
nvidia,37,0.037
thursday,36,0.036
systems,36,0.036
potential,36,0.036
created,36,0.036
market,35,0.035
altman,34,0.034
investment,33,0.033
called,33,0.033
government,32,0.032
need,31,0.031
issues,31,0.031
growing,31,0.031
world,30,0.03
products,30,0.03
people,30,0.03
machine,30,0.03
house,30,0.03
engine,30,0.03
week,29,0.029
time,29,0.029
jobs,29,0.029
images,29,0.029
chatbot,29,0.029
search,28,0.028
programs,28,0.028
news,28,0.028
future,28,0.028
software,27,0.027
set,27,0.027
president,27,0.027
executives,27,0.027
computer,27,0.027
tuesday,26,0.026
white,25,0.025
shares,25,0.025
senate,25,0.025
posed,25,0.025
national,25,0.025
increasingly,25,0.025
chip,25,0.025
business,25,0.025
security,24,0.024
sam,24,0.024
firm,24,0.024
artificial-intelligence,24,0.024
so,23,0.023
rapidly,23,0.023
think,22,0.022
predictions,22,0.022
writing,21,0.021
vice,21,0.021
threat,21,0.021
rise,21,0.021
month,21,0.021
investors,21,0.021
efforts,21,0.021
discuss,21,0.021
congress,21,0.021
china,21,0.021
announced,21,0.021
users,20,0.02
talk,20,0.02
released,20,0.02
process,20,0.02
platforms,20,0.02
models,20,0.02
leading,20,0.02
law,20,0.02
