term,count,ratio
intelligence,836,0.836
artificial,751,0.751
ai,200,0.2
technology,127,0.127
data,87,0.087
machine,80,0.08
learning,79,0.079
company,78,0.078
human,77,0.077
new,74,0.074
computing,74,0.074
help,61,0.061
research,60,0.06
system,59,0.059
development,56,0.056
advanced,56,0.056
work,52,0.052
investment,45,0.045
people,41,0.041
generate,41,0.041
including,40,0.04
created,40,0.04
business,40,0.04
robotics,39,0.039
power,39,0.039
industry,39,0.039
digital,39,0.039
tech,36,0.036
platform,36,0.036
tools,35,0.035
need,34,0.034
processing,32,0.032
automation,32,0.032
time,31,0.031
increasingly,31,0.031
world,30,0.03
software,30,0.03
so,30,0.03
china,27,0.027
products,26,0.026
security,25,0.025
risk,25,0.025
million,24,0.024
job,24,0.024
future,24,0.024
build,24,0.024
think,23,0.023
reality,23,0.023
images,23,0.023
chips,23,0.023
applications,23,0.023
organizations,22,0.022
markets,22,0.022
information,22,0.022
customer,22,0.022
operation,21,0.021
improve,21,0.021
predict,20,0.02
play,20,0.02
models,20,0.02
management,20,0.02
design,20,0.02
art,20,0.02
understand,19,0.019
programs,19,0.019
musk,19,0.019
identify,19,0.019
cybersecurity,19,0.019
cloud,19,0.019
algorithms,19,0.019
real,18,0.018
health,18,0.018
field,18,0.018
big,18,0.018
threat,17,0.017
science,17,0.017
question,17,0.017
networks,17,0.017
live,17,0.017
language,17,0.017
detect,17,0.017
chinese,17,0.017
starting,16,0.016
q.ai,16,0.016
potential,16,0.016
leaders,16,0.016
institute,16,0.016
impact,16,0.016
game,16,0.016
funds,16,0.016
focus,16,0.016
experience,16,0.016
effective,16,0.016
day,16,0.016
article,16,0.016
users,15,0.015
university,15,0.015
trends,15,0.015
tasks,15,0.015
solutions,15,0.015
