date,count,total_count,ratio
2022-10-01 00:00:00,26,6028,0.0043132050431320505
2022-10-02 00:00:00,24,5641,0.004254564793476334
2022-10-03 00:00:00,46,10209,0.004505828190812028
2022-10-04 00:00:00,66,11156,0.0059160989602007885
2022-10-05 00:00:00,39,10601,0.0036788982171493253
2022-10-06 00:00:00,72,11634,0.006188757091284167
2022-10-07 00:00:00,52,10909,0.0047667063892199105
2022-10-08 00:00:00,18,5637,0.0031931878658861094
2022-10-09 00:00:00,15,5830,0.002572898799313894
2022-10-10 00:00:00,58,9883,0.005868663361327532
2022-10-11 00:00:00,58,12186,0.0047595601509929425
2022-10-12 00:00:00,60,11621,0.005163066861715859
2022-10-13 00:00:00,44,12067,0.0036463081130355514
2022-10-14 00:00:00,40,10944,0.003654970760233918
2022-10-15 00:00:00,14,5941,0.00235650563878135
2022-10-16 00:00:00,17,6150,0.0027642276422764228
2022-10-17 00:00:00,29,10663,0.0027196848916815155
2022-10-18 00:00:00,54,11984,0.004506008010680908
2022-10-19 00:00:00,42,11642,0.0036076275554028517
2022-10-20 00:00:00,41,11950,0.0034309623430962342
2022-10-21 00:00:00,44,11149,0.0039465422907884115
2022-10-22 00:00:00,8,5875,0.0013617021276595745
2022-10-23 00:00:00,17,6080,0.0027960526315789474
2022-10-24 00:00:00,52,10857,0.004789536704430322
2022-10-25 00:00:00,47,11920,0.003942953020134228
2022-10-26 00:00:00,56,12084,0.004634227077126779
2022-10-27 00:00:00,63,12758,0.0049380780686628
2022-10-28 00:00:00,55,11234,0.004895851878226811
2022-10-29 00:00:00,13,6133,0.0021196804174139897
2022-10-30 00:00:00,14,6233,0.0022461094176159154
2022-10-31 00:00:00,36,11305,0.003184431667403804
