date,count,total_count,ratio
2022-09-01 00:00:00,68,11407,0.005961251862891207
2022-09-02 00:00:00,45,9713,0.004632966127869865
2022-09-03 00:00:00,25,5274,0.004740235115661737
2022-09-04 00:00:00,14,5165,0.0027105517909002904
2022-09-05 00:00:00,9,6256,0.001438618925831202
2022-09-06 00:00:00,45,10181,0.004419998035556429
2022-09-07 00:00:00,42,11301,0.0037164852667905496
2022-09-08 00:00:00,44,11487,0.0038304169931226606
2022-09-09 00:00:00,41,10222,0.004010956759929563
2022-09-10 00:00:00,8,6148,0.0013012361743656475
2022-09-11 00:00:00,20,5943,0.003365303718660609
2022-09-12 00:00:00,47,10597,0.004435217514390865
2022-09-13 00:00:00,49,11401,0.004297868608016841
2022-09-14 00:00:00,32,11277,0.0028376341225503235
2022-09-15 00:00:00,47,11757,0.003997618440078251
2022-09-16 00:00:00,36,10027,0.0035903061733320034
2022-09-17 00:00:00,8,5423,0.0014751982297621243
2022-09-18 00:00:00,19,6066,0.0031322123310253873
2022-09-19 00:00:00,21,10321,0.0020346865613797113
2022-09-20 00:00:00,59,11370,0.005189094107299912
2022-09-21 00:00:00,48,11454,0.0041906757464641176
2022-09-22 00:00:00,46,11515,0.003994789405123752
2022-09-23 00:00:00,35,10525,0.00332541567695962
2022-09-24 00:00:00,20,5816,0.0034387895460797797
2022-09-25 00:00:00,15,6014,0.002494180246092451
2022-09-26 00:00:00,44,10381,0.0042385126673730854
2022-09-27 00:00:00,61,11482,0.005312663299076816
2022-09-28 00:00:00,80,12084,0.006620324395895399
2022-09-29 00:00:00,55,11993,0.004586008504961227
2022-09-30 00:00:00,58,11109,0.00522099198847781
