term,count,ratio
intelligence,876,0.876
artificial,735,0.735
ai,173,0.173
technology,136,0.136
data,110,0.11
learning,90,0.09
machine,87,0.087
human,85,0.085
new,84,0.084
company,77,0.077
computing,74,0.074
including,58,0.058
work,57,0.057
create,56,0.056
report,52,0.052
help,52,0.052
research,51,0.051
systems,50,0.05
advanced,50,0.05
china,48,0.048
development,45,0.045
chips,45,0.045
robotics,41,0.041
future,40,0.04
tools,35,0.035
digital,34,0.034
power,32,0.032
people,32,0.032
investment,32,0.032
improve,32,0.032
image,32,0.032
time,31,0.031
market,31,0.031
world,30,0.03
software,30,0.03
service,28,0.028
generated,28,0.028
augmented,28,0.028
security,27,0.027
products,27,0.027
models,27,0.027
experience,27,0.027
provide,26,0.026
project,26,0.026
nvidia,26,0.026
industry,26,0.026
customer,26,0.026
automation,26,0.026
program,25,0.025
personal,25,0.025
need,25,0.025
design,25,0.025
business,25,0.025
university,24,0.024
platform,24,0.024
government,24,0.024
predict,23,0.023
video,22,0.022
started,22,0.022
increasingly,22,0.022
capabilities,22,0.022
art,22,0.022
analytics,22,0.022
tech,21,0.021
risk,21,0.021
cloud,21,0.021
center,21,0.021
building,21,0.021
million,20,0.02
google,20,0.02
decisions,20,0.02
called,20,0.02
users,19,0.019
tesla,19,0.019
team,19,0.019
right,19,0.019
plans,19,0.019
national,19,0.019
management,19,0.019
issues,19,0.019
information,19,0.019
solution,18,0.018
potential,18,0.018
play,18,0.018
operations,18,0.018
month,18,0.018
lead,18,0.018
global,18,0.018
focused,18,0.018
devices,18,0.018
detect,18,0.018
ceo,18,0.018
network,17,0.017
institute,17,0.017
day,17,0.017
challenge,17,0.017
applied,17,0.017
amazon,17,0.017
think,16,0.016
space,16,0.016
